sentence,entities
"Can you guide me to 787 HOTHAM  PLACE, Strathmore Heights?","[(24, 37, 'STREET_NAME'), (39, 57, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm on CL1415 in Moorooduc.,"[(7, 13, 'STREET_NAME'), (17, 26, 'SUBURB')]"
I am currently at 788 BRADFIELD  LANE.,"[(22, 37, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am currently at 111 FREEWAY   ENTRANCE   RAMP.,"[(22, 47, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I’m at 206 SWAN STREET  BRIDGE.,"[(11, 30, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to go to Balaclava.,"[(16, 25, 'SUBURB')]"
I need to get here: 113 VALE  STREET SOUTH.,"[(24, 42, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm on WYLIES  LANE in Bundoora.,"[(7, 19, 'STREET_NAME'), (23, 31, 'SUBURB')]"
I am here in Mount Evelyn.,"[(13, 25, 'SUBURB')]"
I need to get here: 575 BAUDIN  LANE.,"[(24, 36, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need to get here: 926 MCCRACKENS  LANE.,"[(24, 40, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"I'm at 544 WILLAM  STREET, Airport West.","[(11, 25, 'STREET_NAME'), (27, 39, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get to 90 BOUGHTON  PLACE.,"[(20, 35, 'STREET_NAME'), (17, 19, 'STREET_NUMBER')]"
I'm on CURRAN  STREET in Beaumaris.,"[(7, 21, 'STREET_NAME'), (25, 34, 'SUBURB')]"
Where is 361 FOXTON  LANE located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"I'm at 742 CL1086, Greensborough.","[(11, 17, 'STREET_NAME'), (19, 32, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"I'm at 607 YARRA  PROMENADE, Malvern.","[(11, 27, 'STREET_NAME'), (29, 36, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am here at 219 CL1170.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get here: 581 PL5382.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am at 782 FREDERICK  WAY in Kealba.,"[(12, 26, 'STREET_NAME'), (30, 36, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am at 992 HAMPDEN  ROAD in Hallam.,"[(12, 25, 'STREET_NAME'), (29, 35, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am trying to reach PL5152.,"[(21, 27, 'STREET_NAME')]"
I am here in Ringwood North.,"[(13, 27, 'SUBURB')]"
I need to get here: 426 PL5061.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"Currently, I am on PL5049.","[(19, 25, 'STREET_NAME')]"
Where is 557 NEWTON  STREET located?,"[(13, 27, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Can you guide me to 511 CURRAN  LANE, Bellfield?","[(24, 36, 'STREET_NAME'), (38, 47, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am at 495 CL167 in Laverton North.,"[(12, 17, 'STREET_NAME'), (21, 35, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to get here: 430 O'BRIEN  PLACE.,"[(24, 38, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am currently at 525 PL5197.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need directions to POWELL  ST in Greensborough.,"[(21, 31, 'STREET_NAME'), (35, 48, 'SUBURB')]"
I am at 609 COVENTRY  ST in Highett.,"[(12, 24, 'STREET_NAME'), (28, 35, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
Where is 650 THE WALK  ARCADE located?,"[(13, 29, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am at 264 GIBSON  AV in Carlton.,"[(12, 22, 'STREET_NAME'), (26, 33, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to get to 348 PL5207.,"[(21, 27, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
How do I get to 547 BENJAMIN  STREET?,"[(20, 36, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I'm heading towards 317 RAILWAY  PLACE in Menzies Creek.,"[(24, 38, 'STREET_NAME'), (42, 55, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 43 RUSSELL  PLACE?,"[(19, 33, 'STREET_NAME'), (16, 18, 'STREET_NUMBER')]"
I am here in Bayswater North.,"[(13, 28, 'SUBURB')]"
Where is 261 CL0481 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"Currently, I am on GROSVENOR  PLACE.","[(19, 35, 'STREET_NAME')]"
I'm heading towards 804 LITTLE QUEENSBERRY  STREET in Blackburn.,"[(24, 50, 'STREET_NAME'), (54, 63, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm on HALFORD  LANE in Dromana.,"[(7, 20, 'STREET_NAME'), (24, 31, 'SUBURB')]"
How do I get to 94 LEONARD  CRESCENT?,"[(19, 36, 'STREET_NAME'), (16, 18, 'STREET_NUMBER')]"
I’m at 318 CL1128.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here in Keilor East.,"[(13, 24, 'SUBURB')]"
"I'm at 225 PL5341, Doveton.","[(11, 17, 'STREET_NAME'), (19, 26, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"Currently, I am on CL1553.","[(19, 25, 'STREET_NAME')]"
I'm heading towards 64 VESSEL  LANE in North Melbourne.,"[(23, 35, 'STREET_NAME'), (39, 54, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
"Currently, I am on CL1261.","[(19, 25, 'STREET_NAME')]"
I am currently at 285 DOCKING  LANE.,"[(22, 35, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here at 841 NICHOLS  LANE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get here: 854 BELMONT  ROAD.,"[(24, 37, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"I'm at 461 CL1362, Belgrave South.","[(11, 17, 'STREET_NAME'), (19, 33, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am trying to reach OLYMPIC  BOULEVARD.,"[(21, 39, 'STREET_NAME')]"
"I'm at 409 CL0480, Chelsea.","[(11, 17, 'STREET_NAME'), (19, 26, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I’m at 328 RATHDOWNE  PLACE.,"[(11, 27, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 717 COMMERCIAL  ROAD.,"[(24, 40, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach WADEY  STREET.,"[(21, 34, 'STREET_NAME')]"
"Currently, I am on MCCABE  PLACE.","[(19, 32, 'STREET_NAME')]"
I am here in Auburn.,"[(13, 19, 'SUBURB')]"
I am at 563 PL5226 in Clarinda.,"[(12, 18, 'STREET_NAME'), (22, 30, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I’m at 636 CL1032.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need directions to MOUNTAIN  ST in Menzies Creek.,"[(21, 33, 'STREET_NAME'), (37, 50, 'SUBURB')]"
I'm on BROUGHAM  STREET in Melton South.,"[(7, 23, 'STREET_NAME'), (27, 39, 'SUBURB')]"
I am at 515 CL1060 in Truganina.,"[(12, 18, 'STREET_NAME'), (22, 31, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"I'm at 301 CL1272, Ringwood.","[(11, 17, 'STREET_NAME'), (19, 27, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 100 SPRING  STREET.,"[(24, 38, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I’m at 261 CL1730.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 871 MOUBRAY  ST, Moorooduc?","[(24, 35, 'STREET_NAME'), (37, 46, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 516 CL1156?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I’m at 970 WELLINGTON  PARADE.,"[(11, 29, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am trying to reach TYRONE  STREET.,"[(21, 35, 'STREET_NAME')]"
I'm on MARKET  PL in Doncaster East.,"[(7, 17, 'STREET_NAME'), (21, 35, 'SUBURB')]"
"Currently, I am on JONES  LANE.","[(19, 30, 'STREET_NAME')]"
I am here in Ripponlea.,"[(13, 22, 'SUBURB')]"
I need to go to Carlton North.,"[(16, 29, 'SUBURB')]"
I am at 982 CATHEDRAL  PLACE in Point Cook.,"[(12, 28, 'STREET_NAME'), (32, 42, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I'm heading towards 38 CL1379 in Clayton.,"[(23, 29, 'STREET_NAME'), (33, 40, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I am currently at 219 LANCASHIRE  LANE.,"[(22, 38, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"I'm at 343 PL5060, Templestowe Lower.","[(11, 17, 'STREET_NAME'), (19, 36, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am at 972 MAGNUS  LANE in Doncaster East.,"[(12, 24, 'STREET_NAME'), (28, 42, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
Where is 277 DOCK  LINK  ROAD located?,"[(13, 29, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am currently at 851 CL0481.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here at 634 COVERLID  PLACE.,"[(17, 32, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am at 201 CURRAN  STREET in Sunshine North.,"[(12, 26, 'STREET_NAME'), (30, 44, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"Can you guide me to 424 PH8028, Richmond?","[(24, 30, 'STREET_NAME'), (32, 40, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here at 444 FLANIGAN  LANE.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I'm on SPENCER  STREET  BRIDGE  FOOTBRIDGE in Mernda.,"[(7, 42, 'STREET_NAME'), (46, 52, 'SUBURB')]"
I need directions to CL1412 in Braybrook.,"[(21, 27, 'STREET_NAME'), (31, 40, 'SUBURB')]"
I need directions to SMORGON  SQUARE in Coburg.,"[(21, 36, 'STREET_NAME'), (40, 46, 'SUBURB')]"
I need to get to 389 ROYAL  PARADE.,"[(21, 34, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
How do I get to 177 CREMORNE  ST?,"[(20, 32, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I'm heading towards 25 FLEMINGTON  ROAD in Tecoma.,"[(23, 39, 'STREET_NAME'), (43, 49, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
How do I get to 545 CL0515?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am at 812 TOORAK  RD in Chadstone.,"[(12, 22, 'STREET_NAME'), (26, 35, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
How do I get to 405 CL1291?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need directions to KIPLING  STREET in Frankston.,"[(21, 36, 'STREET_NAME'), (40, 49, 'SUBURB')]"
I need directions to PL5204 in Westmeadows.,"[(21, 27, 'STREET_NAME'), (31, 42, 'SUBURB')]"
I'm on HAWKE  STREET in Eumemmerring.,"[(7, 20, 'STREET_NAME'), (24, 36, 'SUBURB')]"
I am here at 71 McENTEE LANE.,"[(16, 28, 'STREET_NAME'), (13, 15, 'STREET_NUMBER')]"
I am currently at 470 PL5011.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am currently at 234 CONNORS  LANE.,"[(22, 35, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am trying to reach CL1616.,"[(21, 27, 'STREET_NAME')]"
I’m at 900 PL5005.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
How do I get to 462 PATERSONS  LANE?,"[(20, 35, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need directions to KINGSLAND  PLACE in Fitzroy.,"[(21, 37, 'STREET_NAME'), (41, 48, 'SUBURB')]"
"I'm at 954 PL5293, Croydon.","[(11, 17, 'STREET_NAME'), (19, 26, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I'm on SMYTH  MEWS in Flemington.,"[(7, 18, 'STREET_NAME'), (22, 32, 'SUBURB')]"
I am trying to reach PL5292.,"[(21, 27, 'STREET_NAME')]"
"I'm at 720 MARY  STREET, Parkville.","[(11, 23, 'STREET_NAME'), (25, 34, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
How do I get to 687 DRAKES  LANE?,"[(20, 32, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I need to get to 522 GRICE  ALLEY.,"[(21, 33, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I'm on EARL  STREET in Noble Park North.,"[(7, 19, 'STREET_NAME'), (23, 39, 'SUBURB')]"
"Currently, I am on CL1043.","[(19, 25, 'STREET_NAME')]"
"I'm at 843 HARPER  LANE, Bangholme.","[(11, 23, 'STREET_NAME'), (25, 34, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 247 WATT LANE, Moorabbin?","[(24, 33, 'STREET_NAME'), (35, 44, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am currently at 133 HIGHLANDER  LANE.,"[(22, 38, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"I'm at 380 BOURKE  PLACE, Caroline Springs.","[(11, 24, 'STREET_NAME'), (26, 42, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I’m at 241 THERRY  STREET.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 659 PL5078.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I need to get to 2 DE GRUCHYS  LANE.,"[(19, 35, 'STREET_NAME'), (17, 18, 'STREET_NUMBER')]"
I am here in Mernda.,"[(13, 19, 'SUBURB')]"
How do I get to 316 PH8019?,"[(20, 26, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I'm on EVAN  WALKER  BRIDGE in Oakleigh East.,"[(7, 27, 'STREET_NAME'), (31, 44, 'SUBURB')]"
"Currently, I am on MULLALLY  CLOSE.","[(19, 34, 'STREET_NAME')]"
"Can you guide me to 668 CASSELDEN  PLACE, Deer Park?","[(24, 40, 'STREET_NAME'), (42, 51, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
Where is 214 PL5231 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get here: 89 BOULTON  PARADE.,"[(23, 38, 'STREET_NAME'), (20, 22, 'STREET_NUMBER')]"
I'm heading towards 245 ROESZLER  LANE in Tullamarine.,"[(24, 38, 'STREET_NAME'), (42, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 657 MILLER  LANE?,"[(20, 32, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I’m at 578 MILSON  PL.,"[(11, 21, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 199 TRADES HALL  PLACE, Footscray?","[(24, 42, 'STREET_NAME'), (44, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach DORCHESTER  PLACE.,"[(21, 38, 'STREET_NAME')]"
I’m at 550 PH8040.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 552 ENGINEERING  LANE.,"[(24, 41, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"Can you guide me to 603 ADDERLEY  STREET, Yarrambat?","[(24, 40, 'STREET_NAME'), (42, 51, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"I'm at 715 SILVER  TOP  TERRACE, Lynbrook.","[(11, 31, 'STREET_NAME'), (33, 41, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am here at 431 DALY  ST.,"[(17, 25, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to get here: 818 O'CONNELL  STREET.,"[(24, 41, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
How do I get to 524 LITTLE QUEENSBERRY  STREET?,"[(20, 46, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I’m at 617 PL5024.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am trying to reach FLEMING  ST.,"[(21, 32, 'STREET_NAME')]"
I'm heading towards 829 CL1421 in Bentleigh East.,"[(24, 30, 'STREET_NAME'), (34, 48, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 61 PARK  STREET in Bittern.,"[(23, 35, 'STREET_NAME'), (39, 46, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I am at 703 CHARLES GRIMES  BRIDGE in Oak Park.,"[(12, 34, 'STREET_NAME'), (38, 46, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"Can you guide me to 71 SPARK  LANE, Rosebud West?","[(23, 34, 'STREET_NAME'), (36, 48, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I am currently at 715 CL1199.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I'm on MUNRO  ST in Warrandyte South.,"[(7, 16, 'STREET_NAME'), (20, 36, 'SUBURB')]"
I'm on MUNRO  ST in Karingal.,"[(7, 16, 'STREET_NAME'), (20, 28, 'SUBURB')]"
I need to go to Cairnlea.,"[(16, 24, 'SUBURB')]"
I am at 590 CL1124 in Yallambie.,"[(12, 18, 'STREET_NAME'), (22, 31, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am here at 860 PL5064.,"[(17, 23, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am currently at 820 ELM  STREET.,"[(22, 33, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"Currently, I am on WELLS  PLACE.","[(19, 31, 'STREET_NAME')]"
I'm heading towards 210 PL5212 in Cranbourne North.,"[(24, 30, 'STREET_NAME'), (34, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
How do I get to 412 BAULDERSTONE  WALK?,"[(20, 38, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I am at 659 PL5060 in Bulla.,"[(12, 18, 'STREET_NAME'), (22, 27, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
Where is 719 PIN OAK CRES located?,"[(13, 25, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I'm on RETREAT  PL in Cranbourne North.,"[(7, 18, 'STREET_NAME'), (22, 38, 'SUBURB')]"
I need to go to Fairfield.,"[(16, 25, 'SUBURB')]"
I need to get here: 295 PL5038.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
Where is 673 ROTHSAY  LANE located?,"[(13, 26, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am currently at 769 WEBB  BRIDGE.,"[(22, 34, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"I'm at 212 GREEN  PLACE, Oakleigh East.","[(11, 23, 'STREET_NAME'), (25, 38, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 312 ALFRED  LANE  (PUBLIC), Upfield?","[(24, 46, 'STREET_NAME'), (48, 55, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here at 764 THE RIGHI.,"[(17, 26, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I’m at 368 PL5020.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 540 SAMUEL  LANE.,"[(24, 36, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I'm on PL5076 in Elsternwick.,"[(7, 13, 'STREET_NAME'), (17, 28, 'SUBURB')]"
I am trying to reach CL1657.,"[(21, 27, 'STREET_NAME')]"
"Currently, I am on EADES  STREET.","[(19, 32, 'STREET_NAME')]"
"I'm at 480 JOHNSON  ST, Sunshine.","[(11, 22, 'STREET_NAME'), (24, 32, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
"I'm at 59 TULLAMARINE  FREEWAY, Bennettswood.","[(10, 30, 'STREET_NAME'), (32, 44, 'SUBURB'), (7, 9, 'STREET_NUMBER')]"
I am trying to reach FORD  ST.,"[(21, 29, 'STREET_NAME')]"
I'm on THE CRESCENT in Hawthorn.,"[(7, 19, 'STREET_NAME'), (23, 31, 'SUBURB')]"
Where is 142 STRACHAN  LANE located?,"[(13, 27, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am trying to reach POINT  PARK  CRESCENT.,"[(21, 42, 'STREET_NAME')]"
I am here at 255 COLEMAN  PLACE.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Currently, I am on VICTORIA   ST.","[(19, 32, 'STREET_NAME')]"
I am here in Burnside.,"[(13, 21, 'SUBURB')]"
I need to get to 428 RETREAT  PL.,"[(21, 32, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need directions to REBECCA  WALK in Chelsea Heights.,"[(21, 34, 'STREET_NAME'), (38, 53, 'SUBURB')]"
I am here at 644 BARKLY  PLACE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I’m at 728 LITTLE  COLLINS  STREET.,"[(11, 34, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Currently, I am on MCKILLOP  STREET.","[(19, 35, 'STREET_NAME')]"
How do I get to 786 BRENTANI  WAY?,"[(20, 33, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I'm heading towards 25 GRATTAN  STREET in Menzies Creek.,"[(23, 38, 'STREET_NAME'), (42, 55, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I'm heading towards 621 BAYSIDE  AVENUE in Cremorne.,"[(24, 39, 'STREET_NAME'), (43, 51, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am trying to reach CARDIGAN  TERRACE.,"[(21, 38, 'STREET_NAME')]"
I'm on CONNORS  LANE in Campbellfield.,"[(7, 20, 'STREET_NAME'), (24, 37, 'SUBURB')]"
I'm heading towards 895 PT5086 in Avondale Heights.,"[(24, 30, 'STREET_NAME'), (34, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I need to go to Maidstone.,"[(16, 25, 'SUBURB')]"
I'm heading towards 901 CL1102 in Beaconsfield.,"[(24, 30, 'STREET_NAME'), (34, 46, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am here in Glen Iris.,"[(13, 22, 'SUBURB')]"
I’m at 603 PERCY  STREET.,"[(11, 24, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"I'm at 805 FULHAM  PLACE, Essendon.","[(11, 24, 'STREET_NAME'), (26, 34, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am currently at 329 McCRAE  STREET.,"[(22, 36, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am trying to reach PEARL  STREET.,"[(21, 34, 'STREET_NAME')]"
I am at 855 ENCOUNTER  WAY in Tremont.,"[(12, 26, 'STREET_NAME'), (30, 37, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need directions to BLOCK  PLACE in Kurunjang.,"[(21, 33, 'STREET_NAME'), (37, 46, 'SUBURB')]"
I am at 657 MACFARLAN  LA in Blairgowrie.,"[(12, 25, 'STREET_NAME'), (29, 40, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am currently at 256 ROESZLER  LANE.,"[(22, 36, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I’m at 607 ARNOLD  STREET.,"[(11, 25, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am currently at 576 PL5183.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am currently at 812 FISHER  PDE.,"[(22, 33, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
"I'm at 952 HIGHLANDER  LANE, Scoresby.","[(11, 27, 'STREET_NAME'), (29, 37, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I'm on CL1757 in Bellfield.,"[(7, 13, 'STREET_NAME'), (17, 26, 'SUBURB')]"
I am at 565 CL1124 in Croydon South.,"[(12, 18, 'STREET_NAME'), (22, 35, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I am currently at 212 PL5014.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am at 813 PL5145 in Mentone.,"[(12, 18, 'STREET_NAME'), (22, 29, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I’m at 891 PL5316.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am at 613 BENT  STREET in Mulgrave.,"[(12, 24, 'STREET_NAME'), (28, 36, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
"I'm at 155 MORAY  STREET, Sunshine North.","[(11, 24, 'STREET_NAME'), (26, 40, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I am currently at 275 REYNOLDS  LANE.,"[(22, 36, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I need to get here: 182 PL5144.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here at 813 SOUTHGATE  AVENUE.,"[(17, 34, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I am at 350 KMART  CENTRE in The Patch.,"[(12, 25, 'STREET_NAME'), (29, 38, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I’m at 832 ASTOR  PLACE.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am currently at 887 WILSON  ST.,"[(22, 32, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I’m at 823 ERROL  PLACE.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am here at 700 REYNOLDS  LANE.,"[(17, 31, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
"Currently, I am on BAULDERSTONE  WALK.","[(19, 37, 'STREET_NAME')]"
I am here in The Basin.,"[(13, 22, 'SUBURB')]"
I am currently at 152 RODNEY  PLACE.,"[(22, 35, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here in Rosanna.,"[(13, 20, 'SUBURB')]"
Where is 801 PL5222 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
"I'm at 93 KITZ  LANE, Hampton Park.","[(10, 20, 'STREET_NAME'), (22, 34, 'SUBURB'), (7, 9, 'STREET_NUMBER')]"
I am at 445 GEORGE  LA in Heidelberg.,"[(12, 22, 'STREET_NAME'), (26, 36, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
Where is 697 MUNRO  STREET located?,"[(13, 26, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I am here in Kallista.,"[(13, 21, 'SUBURB')]"
How do I get to 699 CAPEL  PLACE?,"[(20, 32, 'STREET_NAME'), (16, 19, 'STREET_NUMBER')]"
I’m at 962 WOON  CT.,"[(11, 19, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
